before {'accuracy': 0.044921875, 'correct_probability': 0.09788074158132076}
{'step': 1, 'reward': 0.138671875, 'group_hit': 0.875, 'pg': 0.004423690028488636, 'kl': 0.0, 'kl_ema': 0.0, 'kl_beta': 0.09512294245007141, 'grad_norm': 0.623779296875}
{'step': 135, 'reward': 0.119140625, 'group_hit': 0.84375, 'pg': -0.008506005629897118, 'kl': 0.03397618979215622, 'kl_ema': 0.04274315184656332, 'kl_beta': 0.003443174452423582, 'grad_norm': 0.49425777792930603}
{'step': 140, 'reward': 0.09765625, 'group_hit': 0.75, 'pg': 0.0011260195169597864, 'kl': 0.06119382381439209, 'kl_ema': 0.04178163964609215, 'kl_beta': 0.0034595815858444955, 'grad_norm': 0.5521490573883057}
{'step': 145, 'reward': 0.09765625, 'group_hit': 0.78125, 'pg': -0.0026720501482486725, 'kl': 0.036878228187561035, 'kl_ema': 0.041177402185827855, 'kl_beta': 0.0035054298367662084, 'grad_norm': 0.47202908992767334}
{'step': 150, 'reward': 0.109375, 'group_hit': 0.8125, 'pg': -0.0007001040503382683, 'kl': 0.052151039242744446, 'kl_ema': 0.040913657000330755, 'kl_beta': 0.0035059762381233874, 'grad_norm': 0.5023688077926636}
{'step': 155, 'reward': 0.1015625, 'group_hit': 0.65625, 'pg': -0.009091770276427269, 'kl': 0.0526122972369194, 'kl_ema': 0.04037626870750165, 'kl_beta': 0.0035049129163557697, 'grad_norm': 0.5674610733985901}
{'step': 160, 'reward': 0.087890625, 'group_hit': 0.6875, 'pg': 0.005318893119692802, 'kl': 0.04769982397556305, 'kl_ema': 0.04049105902938281, 'kl_beta': 0.003495470191806682, 'grad_norm': 0.44573354721069336}
{'step': 165, 'reward': 0.103515625, 'group_hit': 0.8125, 'pg': -0.012180391699075699, 'kl': 0.0468297153711319, 'kl_ema': 0.040781573997880204, 'kl_beta': 0.003510488499870742, 'grad_norm': 0.5168254375457764}
{'step': 170, 'reward': 0.125, 'group_hit': 0.78125, 'pg': -0.001773082185536623, 'kl': 0.05619703233242035, 'kl_ema': 0.04332502231299197, 'kl_beta': 0.0035624528512075287, 'grad_norm': 0.5942934155464172}
{'step': 175, 'reward': 0.080078125, 'group_hit': 0.78125, 'pg': -0.0007705679163336754, 'kl': 0.04280952364206314, 'kl_ema': 0.04062156978830738, 'kl_beta': 0.0035981698110866345, 'grad_norm': 0.539479672908783}
{'step': 180, 'reward': 0.109375, 'group_hit': 0.84375, 'pg': -0.008953189477324486, 'kl': 0.07225628197193146, 'kl_ema': 0.0428356641292913, 'kl_beta': 0.0036109446301360528, 'grad_norm': 0.4732397794723511}
{'step': 185, 'reward': 0.08203125, 'group_hit': 0.75, 'pg': -0.005413390696048737, 'kl': 0.09441491216421127, 'kl_ema': 0.051014709400295725, 'kl_beta': 0.003778313459172595, 'grad_norm': 0.46341922879219055}
{'step': 190, 'reward': 0.111328125, 'group_hit': 0.71875, 'pg': -0.019221533089876175, 'kl': 0.039913929998874664, 'kl_ema': 0.04943353755445125, 'kl_beta': 0.004030122712360112, 'grad_norm': 0.5428566932678223}
{'step': 195, 'reward': 0.11328125, 'group_hit': 0.8125, 'pg': -0.005212727934122086, 'kl': 0.04558951407670975, 'kl_ema': 0.04717626375454565, 'kl_beta': 0.004239612271537454, 'grad_norm': 0.4931747019290924}
{'step': 200, 'reward': 0.0859375, 'group_hit': 0.78125, 'pg': 0.003982512280344963, 'kl': 0.05523217096924782, 'kl_ema': 0.04774704194043314, 'kl_beta': 0.004465672978071781, 'grad_norm': 0.40402552485466003}
{'step': 205, 'reward': 0.115234375, 'group_hit': 0.8125, 'pg': -0.016541987657546997, 'kl': 0.04551657289266586, 'kl_ema': 0.04751583146221069, 'kl_beta': 0.004699903846443176, 'grad_norm': 0.5127294659614563}
{'step': 210, 'reward': 0.126953125, 'group_hit': 0.78125, 'pg': -0.00833134539425373, 'kl': 0.0716707780957222, 'kl_ema': 0.051130429804224005, 'kl_beta': 0.004958181649089443, 'grad_norm': 0.8295904994010925}
{'step': 215, 'reward': 0.134765625, 'group_hit': 0.8125, 'pg': -0.019730785861611366, 'kl': 0.038731127977371216, 'kl_ema': 0.04896310940355649, 'kl_beta': 0.005297895857624842, 'grad_norm': 0.5750985741615295}
{'step': 220, 'reward': 0.099609375, 'group_hit': 0.71875, 'pg': -0.002675150753930211, 'kl': 0.04695846885442734, 'kl_ema': 0.047913738245880945, 'kl_beta': 0.005586273778349837, 'grad_norm': 0.5319533348083496}
{'step': 225, 'reward': 0.09375, 'group_hit': 0.71875, 'pg': -0.01079125888645649, 'kl': 0.05051948502659798, 'kl_ema': 0.04897622802353368, 'kl_beta': 0.005876157424681835, 'grad_norm': 0.4281708300113678}
