before {'accuracy': 0.044921875, 'correct_probability': 0.09788074158132076}
{'step': 195, 'reward': 0.111328125, 'group_hit': 0.8125, 'pg': 0.0004883576184511185, 'kl': 0.015269211493432522, 'grad_norm': 0.47964102029800415}
{'step': 200, 'reward': 0.087890625, 'group_hit': 0.71875, 'pg': 0.005243498831987381, 'kl': 0.017653480172157288, 'grad_norm': 0.48178642988204956}
{'step': 205, 'reward': 0.12109375, 'group_hit': 0.8125, 'pg': -0.012084240093827248, 'kl': 0.01633809320628643, 'grad_norm': 0.5794780850410461}
{'step': 210, 'reward': 0.11328125, 'group_hit': 0.6875, 'pg': -0.004558682441711426, 'kl': 0.0322338342666626, 'grad_norm': 0.7716488242149353}
{'step': 215, 'reward': 0.1328125, 'group_hit': 0.90625, 'pg': -0.007864736020565033, 'kl': 0.01307927630841732, 'grad_norm': 0.5600031018257141}
{'step': 220, 'reward': 0.095703125, 'group_hit': 0.71875, 'pg': 0.004316065460443497, 'kl': 0.0150532778352499, 'grad_norm': 0.6077291965484619}
{'step': 225, 'reward': 0.095703125, 'group_hit': 0.75, 'pg': -0.010511286556720734, 'kl': 0.019066356122493744, 'grad_norm': 0.39483925700187683}
{'step': 230, 'reward': 0.115234375, 'group_hit': 0.84375, 'pg': -0.009210197255015373, 'kl': 0.013103384524583817, 'grad_norm': 0.6404511332511902}
{'step': 235, 'reward': 0.130859375, 'group_hit': 0.8125, 'pg': -0.003197344020009041, 'kl': 0.01874253898859024, 'grad_norm': 0.6102039217948914}
{'step': 240, 'reward': 0.103515625, 'group_hit': 0.71875, 'pg': -0.0012283530086278915, 'kl': 0.011627590283751488, 'grad_norm': 0.516130268573761}
{'step': 245, 'reward': 0.126953125, 'group_hit': 0.84375, 'pg': -0.006695489399135113, 'kl': 0.018639588728547096, 'grad_norm': 0.69622802734375}
{'step': 250, 'reward': 0.076171875, 'group_hit': 0.78125, 'pg': 0.0008233292028307915, 'kl': 0.020227983593940735, 'grad_norm': 0.45597970485687256}
{'step': 255, 'reward': 0.08984375, 'group_hit': 0.71875, 'pg': 0.007303107529878616, 'kl': 0.021231351420283318, 'grad_norm': 0.4004208445549011}
{'step': 260, 'reward': 0.083984375, 'group_hit': 0.78125, 'pg': 0.00810254830867052, 'kl': 0.018084336072206497, 'grad_norm': 0.44249728322029114}
{'step': 265, 'reward': 0.099609375, 'group_hit': 0.71875, 'pg': 0.0008542593568563461, 'kl': 0.035434842109680176, 'grad_norm': 0.6350675821304321}
{'step': 270, 'reward': 0.1171875, 'group_hit': 0.875, 'pg': -0.006129453890025616, 'kl': 0.02095182240009308, 'grad_norm': 0.582880973815918}
{'step': 275, 'reward': 0.109375, 'group_hit': 0.8125, 'pg': -0.007960639894008636, 'kl': 0.01534617505967617, 'grad_norm': 0.485592782497406}
{'step': 280, 'reward': 0.11328125, 'group_hit': 0.90625, 'pg': -0.0077025266364216805, 'kl': 0.015163048170506954, 'grad_norm': 0.5245677828788757}
{'step': 285, 'reward': 0.12109375, 'group_hit': 0.90625, 'pg': -0.0034399963915348053, 'kl': 0.0157986581325531, 'grad_norm': 0.4612242579460144}
{'step': 290, 'reward': 0.115234375, 'group_hit': 0.875, 'pg': 0.010084841400384903, 'kl': 0.038856640458106995, 'grad_norm': 0.4879501163959503}
{'step': 295, 'reward': 0.1171875, 'group_hit': 0.84375, 'pg': -0.005699878558516502, 'kl': 0.013524490408599377, 'grad_norm': 0.5010828971862793}
{'step': 300, 'reward': 0.12109375, 'group_hit': 0.8125, 'pg': -0.009119277819991112, 'kl': 0.011435010470449924, 'grad_norm': 0.5526149272918701}
{'step': 305, 'reward': 0.09765625, 'group_hit': 0.65625, 'pg': 0.005190094001591206, 'kl': 0.027908239513635635, 'grad_norm': 0.544540286064148}
{'step': 310, 'reward': 0.123046875, 'group_hit': 0.8125, 'pg': -0.013852950185537338, 'kl': 0.03257840871810913, 'grad_norm': 0.5249373316764832}
{'step': 315, 'reward': 0.10546875, 'group_hit': 0.78125, 'pg': 0.00047205109149217606, 'kl': 0.024506013840436935, 'grad_norm': 0.5262847542762756}
